city,cloud,country,date,humidity,lat,lng,maxtemp,windspeed
Ambilobe,100,MG,1584148634,91,-13.2,49.05,77.7,8.16
Tiznit Province,88,MA,1584148883,49,29.58,-9.5,57.36,1.92
Ilebo,61,CD,1584148883,98,-4.32,20.58,69.15,0.94
Touros,40,BR,1584148884,94,-5.2,-35.46,75.2,1.12
Kenora,100,CA,1584148801,72,49.82,-94.43,14.0,13.87
Hong Kong,40,HK,1584148519,77,22.29,114.16,70.0,11.41
Arenzano,73,IT,1584148884,87,44.41,8.68,55.4,3.36
Ternate,100,ID,1584148640,64,0.8,127.4,81.12,1.45
Salihorsk,54,BY,1584148884,80,52.79,27.54,36.82,12.86
Scottsbluff,90,US,1584148884,92,41.87,-103.67,30.2,21.92
Marsabit,99,KE,1584148884,54,2.33,37.99,79.59,15.26
Pandan,41,PH,1584148885,76,14.05,124.17,79.36,3.62
Kieta,78,PG,1584148628,76,-6.22,155.63,84.96,17.78
Cabo San Lucas,40,MX,1584148773,68,22.89,-109.91,75.2,16.11
Bambous Virieux,40,MU,1584148885,100,-20.34,57.76,75.99,7.99
Beatrice,90,US,1584148885,100,40.27,-96.75,36.0,8.05
Tsabong,50,BW,1584148614,68,-26.02,22.4,71.55,10.22
Manggar,32,ID,1584148885,74,-2.88,108.27,82.15,5.23
Casino,0,AU,1584148885,65,-28.87,153.05,78.8,6.93
The Pas,1,CA,1584148885,55,53.83,-101.25,8.6,8.05
Kearney,90,US,1584148765,100,40.7,-99.08,32.0,14.99
Tucumã,93,BR,1584148806,91,-0.18,-50.05,77.77,9.53
Érezée,56,BE,1584148886,86,50.3,5.55,41.0,5.82
Sarangani,5,PH,1584148626,71,5.4,125.46,80.29,1.36
Sitka,75,US,1584148886,44,57.05,-135.33,37.4,20.8
Pangnirtung,100,CA,1584148608,100,66.15,-65.71,-26.27,1.9
Pevek,100,RU,1584148608,76,69.7,170.31,-3.87,9.31
Kayes,0,ML,1584148886,11,14.0,-11.0,82.4,5.82
Bay Roberts,20,CA,1584148887,67,47.6,-53.26,21.2,3.36
Kangaatsiaq,100,GL,1584148638,91,68.31,-53.46,7.88,18.84
Salalah,87,OM,1584148887,60,17.02,54.09,73.4,3.36
Bud,1,US,1584148887,52,39.45,-86.18,45.0,7.56
Bichena,89,ET,1584148887,65,10.45,38.2,59.36,4.29
Broken Hill,0,AU,1584148887,41,-31.95,141.43,59.0,24.16
Cockburn Town,4,TC,1584148573,80,21.46,-71.14,76.91,15.79
Thompson,75,CA,1584148365,42,55.74,-97.86,6.8,11.41
Norman Wells,90,CA,1584148611,77,65.28,-126.83,6.8,6.93
Kahului,75,US,1584148614,69,20.89,-156.47,77.0,6.93
Vila Velha,75,BR,1584148307,88,-20.33,-40.29,78.8,3.36
Dourados,69,BR,1584148593,69,-22.22,-54.81,78.24,5.14
Zyryanka,100,RU,1584148890,78,65.75,150.85,-11.63,4.59
Bouar,32,CF,1584148890,14,5.93,15.6,69.39,8.28
Smithers,20,CA,1584148435,22,54.78,-127.17,21.2,10.29
Kabanjahe,20,ID,1584148890,88,3.1,98.49,82.4,3.36
Manokwari,97,ID,1584148891,75,-0.87,134.08,78.33,7.23
Bilibino,100,RU,1584148304,92,68.05,166.44,-13.13,8.41
Española,90,US,1584148891,58,35.99,-106.08,48.0,6.93
Mount Gambier,90,AU,1584148891,55,-37.83,140.77,62.6,17.22
Waitati,0,NZ,1584148891,67,-45.75,170.57,64.0,11.01
Bhawana,5,PK,1584148891,87,31.57,72.65,49.37,3.11
Huejuquilla el Alto,100,MX,1584148891,23,22.6,-103.87,78.3,13.56
Hualmay,32,PE,1584148891,74,-11.1,-77.61,72.82,5.41
Yar-Sale,71,RU,1584148892,91,66.83,70.83,27.7,15.32
Maniitsoq,100,GL,1584148612,89,65.42,-52.9,10.44,11.52
Kozan,75,TR,1584148892,93,37.46,35.82,59.0,10.29
Goderich,80,CA,1584148892,79,43.75,-81.72,37.0,18.23
Bolama,0,GW,1584148892,70,11.58,-15.47,81.19,10.25
Honningsvåg,75,NO,1584148622,73,70.98,25.97,19.4,24.16
Vila Franca do Campo,20,PT,1584148633,82,37.72,-25.43,55.4,5.82
Khatanga,100,RU,1584148617,75,71.97,102.5,0.75,17.87
Meulaboh,0,ID,1584148893,77,4.14,96.13,82.33,6.4
Tigil',100,RU,1584148893,77,57.8,158.67,24.69,21.88
General Roca,0,AR,1584148893,46,-39.03,-67.58,73.4,12.75
Kochubey,34,RU,1584148893,83,44.39,46.58,46.53,7.05
Marsh Harbour,10,BS,1584148893,84,26.54,-77.06,73.11,15.37
Laminusa,4,PH,1584148893,70,5.55,120.91,81.1,3.56
Hirara,75,JP,1584148894,77,24.8,125.28,68.0,12.75
Mae Ramat,0,TH,1584148894,64,16.98,98.52,71.6,1.48
Flinders,90,AU,1584148894,93,-34.58,150.86,60.01,9.17
Pyapon,0,MM,1584148894,88,16.28,95.68,67.66,1.12
Port Augusta,90,AU,1584148894,39,-32.5,137.77,62.6,17.22
Bonavista,7,CA,1584148618,78,48.65,-53.11,26.01,5.01
Ginda,100,IN,1584148627,86,30.69,78.49,43.0,2.3
Husavik,90,IS,1584148894,92,66.04,-17.34,24.8,23.04
